tick,count_5,count_10,count_15,count_total,value_5,value_10,value_15,value_total
410,0,0,1,1,0,0,15,15
429,0,0,2,2,0,0,30,30
561,0,1,2,3,0,10,30,40
734,0,2,2,4,0,20,30,50
743,1,2,2,5,5,20,30,55
853,1,2,3,6,5,20,45,70
921,1,2,4,7,5,20,60,85
1030,1,2,5,8,5,20,75,100
1120,1,3,5,9,5,30,75,110
1236,1,3,6,10,5,30,90,125
1273,2,3,6,11,10,30,90,130
1288,2,3,7,12,10,30,105,145
1555,3,3,7,13,15,30,105,150
1571,3,4,7,14,15,40,105,160
1851,4,4,7,15,20,40,105,165
2457,5,4,7,16,25,40,105,170
2625,5,5,7,17,25,50,105,180
2696,5,6,7,18,25,60,105,190
2873,5,6,8,19,25,60,120,205
3295,5,6,9,20,25,60,135,220
3297,5,7,9,21,25,70,135,230
3322,5,7,10,22,25,70,150,245
3328,6,7,10,23,30,70,150,250
3629,6,7,11,24,30,70,165,265
3642,7,7,11,25,35,70,165,270
3708,7,7,12,26,35,70,180,285
3760,7,7,13,27,35,70,195,300
3849,7,7,14,28,35,70,210,315
3878,7,7,15,29,35,70,225,330
3981,7,7,16,30,35,70,240,345
4073,7,7,17,31,35,70,255,360
4097,7,7,18,32,35,70,270,375
4271,7,7,19,33,35,70,285,390
4291,7,7,20,34,35,70,300,405
4322,7,7,21,35,35,70,315,420
4352,7,7,22,36,35,70,330,435
4384,7,7,23,37,35,70,345,450
4505,7,7,24,38,35,70,360,465
4506,7,7,25,39,35,70,375,480
4514,7,7,26,40,35,70,390,495
4797,7,7,27,41,35,70,405,510
4886,7,7,28,42,35,70,420,525
4938,7,7,29,43,35,70,435,540
4957,7,7,30,44,35,70,450,555
4970,7,7,31,45,35,70,465,570
5016,7,7,32,46,35,70,480,585
5035,7,7,33,47,35,70,495,600
5073,7,7,34,48,35,70,510,615
5367,7,7,35,49,35,70,525,630
5409,7,7,36,50,35,70,540,645
5502,7,8,36,51,35,80,540,655
5509,7,8,37,52,35,80,555,670
5578,7,8,38,53,35,80,570,685
5582,7,8,39,54,35,80,585,700
5630,7,9,39,55,35,90,585,710
5790,7,9,40,56,35,90,600,725
5813,7,9,41,57,35,90,615,740
5876,7,9,42,58,35,90,630,755
5987,7,9,43,59,35,90,645,770
6111,7,9,44,60,35,90,660,785
6112,7,9,45,61,35,90,675,800
6142,7,9,46,62,35,90,690,815
6244,7,9,47,63,35,90,705,830
6385,7,9,48,64,35,90,720,845
6394,7,9,49,65,35,90,735,860
6482,7,9,50,66,35,90,750,875
6509,7,9,51,67,35,90,765,890
6565,7,9,52,68,35,90,780,905
6633,7,9,53,69,35,90,795,920
6641,7,9,54,70,35,90,810,935
6731,7,9,55,71,35,90,825,950
6765,7,9,56,72,35,90,840,965
6837,7,9,57,73,35,90,855,980
7070,7,9,58,74,35,90,870,995
7127,7,9,59,75,35,90,885,1010
7602,7,9,60,76,35,90,900,1025
7675,8,9,60,77,40,90,900,1030
7800,8,10,60,78,40,100,900,1040
7984,8,10,61,79,40,100,915,1055
8091,8,10,62,80,40,100,930,1070
8528,9,10,62,81,45,100,930,1075
8576,9,11,62,82,45,110,930,1085
8634,10,11,62,83,50,110,930,1090
8654,10,11,63,84,50,110,945,1105
8711,11,11,63,85,55,110,945,1110
8834,11,11,64,86,55,110,960,1125
8873,11,11,65,87,55,110,975,1140
8948,11,11,66,88,55,110,990,1155
8977,11,11,67,89,55,110,1005,1170
9031,11,11,68,90,55,110,1020,1185
9114,11,11,69,91,55,110,1035,1200
9141,11,11,70,92,55,110,1050,1215
9214,11,11,71,93,55,110,1065,1230
9294,11,11,72,94,55,110,1080,1245
9324,11,11,73,95,55,110,1095,1260
9439,11,11,74,96,55,110,1110,1275
9447,11,11,75,97,55,110,1125,1290
9506,11,11,76,98,55,110,1140,1305
